data,dia,horario,rodada,id_arena,id_clube1,id_clube2,id_clube_vencedor,id_estado_clube1,id_estado_clube2,id_estado_vencedor,qtd_gols_clube1,qtd_gols_clube2
14/05/2016,Sábado,16:00,1ª Rodada,65,14,27,14,19,17,19,1,0
14/05/2016,Sábado,16:00,1ª Rodada,61,21,4,21,25,16,25,4,0
14/05/2016,Sábado,18:30,1ª Rodada,40,3,25,3,13,25,13,1,0
14/05/2016,Sábado,21:00,1ª Rodada,29,10,12,10,16,13,16,1,0
15/05/2016,Domingo,11:00,1ª Rodada,18,24,29,24,17,8,17,4,1
15/05/2016,Domingo,11:00,1ª Rodada,65,7,26,26,19,25,25,0,1
15/05/2016,Domingo,16:00,1ª Rodada,7,9,17,0,25,21,0,0,0
15/05/2016,Domingo,16:00,1ª Rodada,40,1,15,15,13,19,19,0,1
15/05/2016,Domingo,16:00,1ª Rodada,59,13,22,0,24,25,0,0,0
15/05/2016,Domingo,18:30,1ª Rodada,22,18,8,0,21,24,0,0,0
21/05/2016,Sábado,16:00,2ª Rodada,54,22,21,22,25,25,25,2,1
21/05/2016,Sábado,18:30,2ª Rodada,65,15,24,0,19,17,0,2,2
21/05/2016,Sábado,21:00,2ª Rodada,52,12,13,0,13,24,0,2,2
22/05/2016,Domingo,11:00,2ª Rodada,9,4,3,0,16,13,0,1,1
22/05/2016,Domingo,11:00,2ª Rodada,71,25,10,25,25,16,25,2,1
22/05/2016,Domingo,16:00,2ª Rodada,56,26,18,18,25,21,21,1,2
22/05/2016,Domingo,16:00,2ª Rodada,6,8,1,8,24,13,24,3,1
22/05/2016,Domingo,16:00,2ª Rodada,11,17,14,17,21,19,21,1,0
22/05/2016,Domingo,16:00,2ª Rodada,19,29,9,29,8,25,8,3,2
22/05/2016,Domingo,18:30,2ª Rodada,39,27,7,0,17,19,0,1,1
25/05/2016,Quarta-feira,19:30,3ª Rodada,44,7,4,7,19,16,19,2,1
25/05/2016,Quarta-feira,19:30,3ª Rodada,59,13,25,0,24,25,0,2,2
25/05/2016,Quarta-feira,21:00,3ª Rodada,65,14,8,0,19,24,0,2,2
25/05/2016,Quarta-feira,21:00,3ª Rodada,40,1,29,0,13,8,0,1,1
25/05/2016,Quarta-feira,21:45,3ª Rodada,29,10,26,0,16,25,0,1,1
25/05/2016,Quarta-feira,21:45,3ª Rodada,61,21,15,21,25,19,25,2,0
25/05/2016,Quarta-feira,21:45,3ª Rodada,18,24,12,24,17,13,17,4,1
26/05/2016,Quinta-feira,11:00,3ª Rodada,7,9,22,9,25,25,25,3,0
26/05/2016,Quinta-feira,16:00,3ª Rodada,22,18,27,18,21,17,21,1,0
26/05/2016,Quinta-feira,21:00,3ª Rodada,40,3,17,17,13,21,21,0,3
28/05/2016,Sábado,16:00,4ª Rodada,52,12,1,0,13,13,0,1,1
28/05/2016,Sábado,18:30,4ª Rodada,9,4,13,4,16,24,16,2,1
28/05/2016,Sábado,21:00,4ª Rodada,6,8,24,0,24,17,0,1,1
29/05/2016,Domingo,11:00,4ª Rodada,54,22,14,14,25,19,19,1,2
29/05/2016,Domingo,11:00,4ª Rodada,39,27,9,9,17,25,25,0,2
29/05/2016,Domingo,16:00,4ª Rodada,65,15,7,15,19,19,19,1,0
29/05/2016,Domingo,16:00,4ª Rodada,56,26,21,26,25,25,25,1,0
29/05/2016,Domingo,16:00,4ª Rodada,36,29,3,0,8,13,0,1,1
29/05/2016,Domingo,18:30,4ª Rodada,11,17,10,17,21,16,21,2,0
29/05/2016,Domingo,18:30,4ª Rodada,71,25,18,18,25,21,21,0,1
01/06/2016,Quarta-feira,19:30,5ª Rodada,22,18,4,18,21,16,21,1,0
