id_clube,desc_clube
0,Não Identificado
1,América-MG
2,Atlético-GO
3,Atlético-MG
4,Atlético-PR
5,Avaí
6,Bahia
7,Botafogo
8,Chapecoense
9,Corinthians
10,Coritiba
11,Criciúma
12,Cruzeiro
13,Figueirense
14,Flamengo
15,Fluminense
16,Goiás
17,Grêmio
18,Internacional
19,Joinville
20,Náutico
21,Palmeiras
22,Ponte Preta
23,Portuguesa
24,Santa Cruz
25,Santos
26,São Paulo
27,Sport
28,Vasco
29,Vitória
